Kingdom,Phylum,Class,Order,Family,Genus,Species,SAE3_00,SAE3_05,SAE3_23,SAE3_37,HSE6_05,HSE6_23,SAE3 Sum Raw Reads,HSE6 Sum Raw Reads,Total Raw Reads,Rank
Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingobium,Sphingobium sp. YL23,8,57,103,170,51,402,338,453,791,3212
Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingobium,Sphingobium ummariense,11,73,108,142,78,250,334,328,662,3526
Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingobium,Sphingobium xenophagum,34,109,171,232,102,466,546,568,1114,2648
Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingobium,Sphingobium yanoikuyae,28,192,279,426,192,560,925,752,1677,2089
Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,Sphingomonas astaxanthinifaciens,10,68,82,163,53,234,323,287,610,3672
Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,Sphingomonas echinoides,15,81,120,188,62,233,404,295,699,3420
Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,Sphingomonas elodea,9,76,138,204,60,245,427,305,732,3343
Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,Sphingomonas jaspsi,11,63,122,148,43,227,344,270,614,3656
Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,Sphingomonas melonis,14,52,110,188,55,235,364,290,654,3547
Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,Sphingomonas paucimobilis,14,75,98,174,64,241,361,305,666,3513
Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,Sphingomonas phyllosphaerae,13,125,165,269,109,417,572,526,1098,2670
Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,Sphingomonas sanxanigenens,25,117,166,304,91,471,612,562,1174,2580
Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,Sphingomonas sp. ATCC 31555,5,59,87,160,41,193,311,234,545,3864
Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,Sphingomonas sp. BHC-A,1,17,18,18,5,50,54,55,109,5318
Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,Sphingomonas sp. DC-6,106,95,150,247,111,358,598,469,1067,2719
Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,Sphingomonas sp. KC8,18,87,158,229,63,356,492,419,911,2968
Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,Sphingomonas sp. LH128,15,98,171,286,106,404,570,510,1080,2698
Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,Sphingomonas sp. MM-1,34,102,153,217,90,354,506,444,950,2909
Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,Sphingomonas sp. PAMC 26605,9,71,120,167,72,281,367,353,720,3376
